respondent,term,comment
1,clean,It looks good. Words are a bit small and hard to read though.
1,approachable,It looks good. Words are a bit small and hard to read though.
1,simple,It looks good. Words are a bit small and hard to read though.
1,professional,It looks good. Words are a bit small and hard to read though.
1,fast,It looks good. Words are a bit small and hard to read though.
2,fast,With only a few clicks and you had useful information
2,convenient,"If you were having problems with grasshoppers in your fields, this would a be a fast and convenient way to look for solutions"
2,educational,I did not know about differnt types of grasshoppers
2,useful,"This provides solutions based on your specific issues, how to find out what you are dealing with and how to fix your problem."
2,confusing,"I was not sure exactly what I was supposed to do, but once I clicked the how to, everything was much clearer.  Also, if I had been dealing with a grasshopper issue or simply knew more about farming, I might have understood it a little better."
3,usable,Java applet is very simple.
3,easy to use,See comment above.
3,time-consuming,Consider refining the program-develop a more advanced and intuitive interface.  
3,boring,Program took too long.  Estimations may have to be more broad
3,dull,Consider refining the program interface to make it more user-friendly
4,business-like,The language was understandable but appropriate vocabulary was used for the content.
4,customizable,"Although the averages (or standards, defaults) were given, for any situation where the farmer/rancher may have a special situation--and face it, nothing is exactly average, no matter where one is farming or ranching--one could adjust the settings for the individual needs."
4,understandable,"Even though the language was specialized for the content, it was well within the range of the ordinary user.  Any time I was unclear about what something meant or why it was necessary, one of the options at the bottom explained it to me."
4,organized,"It was definitely a matter of 1-2-3: in this order, we need this information, in order to reach this conclusion."
4,straightforward,"I'm not sure, not being an entomologist or farmer/rancher, how applicable this information is.  I think it may be available from one's local extension agent.  However, despite that it was very clear: gather and input your specific information to recieve customized results, and if you have any questions the answers to at least the basic questions are available."
5,clean,clear to know what to do
5,incomprehensible,i have no idea about grasshoppers
5,complex,no idea about this topic
5,too technical,not for people who don't understand about grasshoppers
5,business-like,professional and easy to navigate
6,clean,not a lot oh excess graphics to distract the user
6,business-like,"very direct questions, easy to understand"
6,straightforward,"very direct questions, east to understand"
6,organized,"one question per-page, easy to follow"
6,easy to use,"one question per-page, easy to follow"
7,stimulating,"Interesting way to evaluate a problem, even for people who are not typically involved in pest control (such as myself).  "
7,usable,Easy to use; didn't need any special instructions.
7,straightforward,Got to the point; not cluttered.
7,fun,Just a cool program that could be very useful.
7,innovative,Helps build on the expertise of individuals and provides alternatives based on individual situations.
8,straightforward,Questions were direct and gave good choices for answers.
8,dated,the whole set up seems awfully boring and was thrown together.  The whole visual experience was not good nor interesting.
8,boring,the program didn't do anything that caught my interest at all.  
8,simple,questions were easy to understand.
8,dull,almost seemed as if I was reading a black and white newspaper.  No color no interest.  
9,easy to use,The questions were fairly easy to answer and they were easy to find.
10,customizable,Many options to choose from to make it work for each person.
10,flexible,Easily changed and navigated through.
10,understandable,It was straight-forward and asked you exactly what it wanted.
10,useful,"To me personally, it wasn't, but on a bigger scale it would be very useful."
10,educational,Easy to learn what to do for an infestation.
11,responsive,Quick response time
11,complex,There are many steps and I was unsure at times what button to click. I was unsure if the crop border and all those terms were commonplace knowledge for someone dealing with a grasshopper infestation.
11,time-consuming,"There are many steps and knowledge needed beforehand in order to answer all questions. If I knew all the info needed beforehand, I would have spent much less time figuring out what was needed. "
11,awkward,"The buttons at the bottom are a little awkward. I did not know what the ""why"" button's purpose was. The Ok button kept taking me to the next page when I thought Ok meant done. There were just a lot of buttons."
11,usable,The program was usable and provided information on whether or not a grasshopper infestation existed.
12,straightforward,Seems easy to use.
12,simple,Seems easy to use.
12,time-saving,Time-saving for those who need to figure quickly.
13,cutting edge,you didn't use many words kept it simple. that is more cutting edge then websites that make you read a bunch to get to one thing
13,useful,i liked how many different things were on there for me to use
13,easy to use,i found everything very easily
13,clear,just like easy to use it was clear where i needed to go to do what i wanted to
13,fun,i like the way the page was set up it said fun to me
14,time-consuming,The time it takes to look at different grasshoppers would take a while.
14,awkward,The menus seem slightly confusing to use
14,comprehensive,Great if you do have grasshopper problems.
14,old,The overall appearance seems really old-fashioned.
15,understandable,The questions were easy to understand.
15,efficient,It moved swiftly from one question to the next.
15,easy to use,Each button was labled well.
15,simple,Each button had a purpose and there wasn't too much on the page or too little.
15,professional,It wasn't filled with advertisements or useless pictures.
16,educational,one could learn what they need to do about their grasshopper population
16,expected,expected would need to treat field with pesticides
16,trustworthy,believe is accurate
16,clear,easy to understand directions
16,efficient,does a good job
17,entertaining,learning about bugs
17,fun,pictures were cool
18,impressive,interesting idea
18,simplistic,user friendly
18,too technical,need to perform some study and know grasshoper terms ahead of time
18,confusing,due to technical terminology
18,vague,for weather stations
19,usable,Much like clean. Very simple to use and understand.
19,relevant,I am not a farmer but I can see how this would help a farmer with a grasshopper infestation help understand it better so it can be more easily taken care of.
19,clean,Much like usable. Very straightforward and easy to use.
19,fast,I was not expecting to get results that quickly. I just guessed on numbers and tried to make it realistic but it still only took me about two minutes to get an answer.
19,organized,Very easy step by step process. Had a very logical flow.
20,simplistic,"Simple artwork, buttons clear and easy to click on"
20,responsive,moves quickly from page to page
20,dull,"besides the front cover of the grasshopper with the hat, the font is too small and it's difficult to read. Instead of moving the bar left or right ot include a number, have the person type it in an empty box. The map where you select your county should have the names of the counties within the box or at least have a box pull up when the mouse rolls over it. "
20,business-like,very professionally written
20,system-oriented,goes through all the stages in chronological order
21,overwhelming,Lots of information in a very small space
21,educational,Good information
21,uncontrollable,When putting in acres it goes from 1 to 101 acres which may be frustrating for people who have small acerages.
21,professional,"Very professional ""speech"""
21,too technical,"May be too technical in some of the terminology for the lay person.  For example, the things behind their heads, the pictures looked way to much alike."
22,unattractive,the figures were not very good looking
22,illogical,i did not understand what was to be done
22,poor quality,the wording was tough for me to read
22,awkward,it seemed thrown together
23,exciting,its my first time to use a software like this!
23,old,the menu panel looks out of date
23,meaningful,useful for teaching
